x1,y1,z1,core1,vcn1,x2,y2,z2,core2,vcn2,t,study_id,subject
114.659996,44.980000,11.200000,7829.576172,3224.048828,113.064293,47.036335,13.446424,4095.977783,2204.546387,0,1-1SFA,1-1RRE
127.399994,30.160000,11.600000,8705.111328,3256.343018,127.555092,32.157967,12.920419,5024.399414,2413.896240,0,1-1SFA,1-1RRE
91.519997,36.399998,11.600000,5673.034180,2570.986084,92.215454,36.487309,12.881268,5566.888672,2484.893066,0,1-1SFA,1-1RRE
122.199997,36.919998,11.600000,5619.209961,3071.547852,122.370872,36.063488,13.450317,10442.012695,4398.169922,0,1-1SFA,1-1RRE
114.919998,40.299999,11.600000,5823.740723,2949.547119,115.366882,38.468861,12.705871,7289.020020,2863.543457,0,1-1SFA,1-1RRE
91.519997,41.340000,11.600000,5120.442383,2488.456055,91.187492,39.593155,13.403753,4849.637695,2126.267578,0,1-1SFA,1-1RRE
145.599991,42.379997,11.600000,6053.389160,2041.718140,144.252777,42.030682,11.430213,5679.755859,1916.917603,0,1-1SFA,1-1RRE
128.699997,50.439999,11.600000,4524.791992,2384.396729,131.022186,47.827114,11.187944,3375.085693,1156.886230,0,1-1SFA,1-1RRE
129.479996,54.079998,11.600000,6588.039551,2615.839355,131.320663,57.144665,12.375942,6287.781250,3105.661377,0,1-1SFA,1-1RRE
138.059998,21.059999,12.000000,11432.186523,4923.088379,137.106857,21.084646,15.323768,7791.459961,3928.497803,0,1-1SFA,1-1RRE
119.339996,35.879997,12.000000,8913.230469,3599.021484,117.417534,35.242191,14.987150,4430.937500,2184.521484,0,1-1SFA,1-1RRE
127.919998,38.739998,12.000000,7973.106445,2583.544922,126.550110,39.696518,13.226072,9750.248047,4423.656250,0,1-1SFA,1-1RRE
121.159996,42.899998,12.000000,3896.846924,1626.377441,122.668266,44.115231,13.785245,7110.617188,2659.654785,0,1-1SFA,1-1RRE
147.419998,43.160000,12.000000,4392.026367,2086.571289,148.147675,42.481560,12.673968,5111.780273,1949.685425,0,1-1SFA,1-1RRE
145.860001,44.459999,12.000000,3724.610596,1711.598511,144.507675,43.505394,13.494542,6848.474609,3114.763672,0,1-1SFA,1-1RRE
118.559998,50.959999,12.000000,5468.503418,2434.632324,119.577309,50.365082,14.024704,9597.331055,3573.513184,0,1-1SFA,1-1RRE
151.839996,53.820000,12.000000,3295.813965,1451.449951,149.232224,52.591152,13.499236,5253.774414,2248.236816,0,1-1SFA,1-1RRE
145.860001,37.959999,12.400001,6588.039551,3369.373047,146.302338,37.538208,12.858421,8490.506836,4048.646484,0,1-1SFA,1-1RRE
115.699997,42.379997,12.400001,4915.912109,2603.280273,115.913460,43.678345,12.524405,6076.610352,2856.261719,0,1-1SFA,1-1RRE
118.559998,43.680000,12.400001,7205.219727,2759.369629,117.472321,42.404907,11.680653,6371.520996,3029.203125,0,1-1SFA,1-1RRE
140.919998,47.059998,12.400001,4270.025391,1921.511475,140.880875,47.889767,14.854569,3764.658691,2126.267578,0,1-1SFA,1-1RRE
130.779999,49.919998,12.400001,3756.904785,1384.170044,131.812958,50.664288,11.710547,4798.665527,2250.057129,0,1-1SFA,1-1RRE
92.039993,50.179996,12.400001,9910.765625,5988.800781,89.941925,50.283344,13.037601,6557.205078,3484.311768,0,1-1SFA,1-1RRE
87.099998,58.759998,12.400001,5838.093750,3053.606445,87.641914,57.861320,12.536188,4583.854492,1165.988281,0,1-1SFA,1-1RRE
117.259995,60.320000,12.400001,7492.280273,3355.020020,115.481758,60.632374,11.621707,4704.002930,1752.168213,0,1-1SFA,1-1RRE
92.299995,64.739998,12.400001,4406.379395,1905.364380,92.617958,65.630402,12.888315,8221.082031,3811.989990,0,1-1SFA,1-1RRE
132.860001,35.360001,12.800000,7800.870117,3629.521729,133.545609,35.975739,14.316401,11060.960938,5781.700195,0,1-1SFA,1-1RRE
140.399994,39.519997,12.800000,4714.969727,2558.427246,137.227005,40.263126,10.913352,8439.535156,3580.794922,0,1-1SFA,1-1RRE
148.720001,45.239998,12.800000,7284.161133,2841.899414,149.170303,42.863758,15.898892,6367.879883,3264.039062,0,1-1SFA,1-1RRE
125.839996,45.500000,12.800000,10484.886719,5063.030273,127.112541,46.774025,11.920934,6710.122070,2481.252441,0,1-1SFA,1-1RRE
123.239998,46.539997,12.800000,4779.558105,2021.982666,121.902657,48.242374,14.751950,4420.015137,1306.161865,0,1-1SFA,1-1RRE
96.199997,47.839996,12.800000,5730.446289,2524.338623,95.381142,46.846500,13.729714,6451.620117,3695.482178,0,1-1SFA,1-1RRE
149.500000,61.099998,12.800000,5522.327148,3033.871094,149.252502,59.019386,15.366689,4729.489258,2767.060547,0,1-1SFA,1-1RRE
92.820000,66.820000,12.800000,5737.622559,2592.515625,91.841492,67.419571,13.758235,5934.616699,2770.701416,0,1-1SFA,1-1RRE
140.399994,72.279999,12.800000,6598.804199,2734.251709,136.852783,73.710472,13.896112,10318.222656,4219.767578,0,1-1SFA,1-1RRE
120.379997,85.539993,12.800000,2867.017090,993.050049,123.654755,86.520821,13.944201,5377.563477,2838.057617,0,1-1SFA,1-1RRE
139.099991,36.660000,13.200000,7004.277344,3195.342773,140.287033,34.561138,16.301262,6848.474609,3087.457031,0,1-1SFA,1-1RRE
135.720001,37.699997,13.200000,6896.629883,4517.615234,136.657944,37.419930,16.797464,5042.603516,1556.471558,0,1-1SFA,1-1RRE
119.339996,40.299999,13.200000,5985.212402,2407.720215,118.741623,40.431328,15.209995,7365.478516,3498.875244,0,1-1SFA,1-1RRE
95.679993,44.459999,13.200000,4976.912109,2086.571289,97.433060,43.376591,15.600590,5206.442871,2785.264893,0,1-1SFA,1-1RRE
88.399994,59.539997,13.200000,4714.969727,2743.222412,90.232018,57.279457,13.729162,8381.281250,4543.804688,0,1-1SFA,1-1RRE
111.279999,66.559998,13.200000,5120.442383,2041.718140,111.329826,66.998291,15.462563,3797.426514,1447.245483,0,1-1SFA,1-1RRE
138.580002,87.360001,13.200000,2951.341309,1216.419067,141.341568,86.986961,13.272017,14417.841797,6018.356445,0,1-1SFA,1-1RRE
148.199997,22.359999,13.600000,7201.631348,2696.574951,148.541580,20.995626,16.191402,5788.981934,2226.391602,0,1-1SFA,1-1RRE
92.299995,26.259998,13.600000,5472.091797,2719.898682,93.968605,26.214928,15.669937,5759.854980,2748.856201,0,1-1SFA,1-1RRE
148.720001,40.039997,13.600000,4610.910156,2393.367188,147.861954,40.548676,15.394691,5002.554199,2575.915039,0,1-1SFA,1-1RRE
