fish1_x,fish1_y,fish2_x,fish2_y,fish3_x,fish3_y
1210.183,115.1923,1102.257,193.843,322.452,208.871
1379.433,119.3326,1803.729,299.529,654.875,122.489
1423.898,199.0499,1129.171,288.443,640.298,153.933
670.2489,162.6569,1670.029,201.957,570.783,333.65
2343.272,350.1444,909.957,155.357,469.593,171.105
2421.479,217.0407,924.229,184.271,325.417,299.139
2677.261,244.0084,2614.014,255.143,533.99,161.618
1228.534,207.5879,1411.514,232.543,394.042,101.347
1337.468,202.1679,654.171,178.571,451.946,310.089
1816.387,240.3471,677.65,116.333,524.797,218.493
1371.181,259.1953,1002.533,125.517,515.521,155.396
1856.638,295.4971,1046.667,255.3,600.5,83.743
1528.12,233.2077,1699.983,213.583,511.853,278.088
1533.258,156.4125,1114.367,204.967,307.812,60.913
1313.305,172.3766,771.567,133.1,521.85,111.663
1203.367,152.1406,651.217,234.9,635.271,116.8
2204.949,348.7192,1186,206.333,,
1239.203,207.48,959.383,235.867,,
1499.061,169.04,1234.383,175.067,,
1046.344,122.4283,934.65,184.55,,
1442.76,250.0413,1547.367,226.217,,
1168.653,236.1287,1171.217,228.533,,
1817.313,194.4975,646.117,176.233,,
1539.902,180.7662,1020.717,224.783,,
1431.881,159.3076,806.2,156.75,,
907.7669,176.7484,1094.55,242.617,,
990.2013,171.8867,1509.8,270.733,,
2101.942,280.3796,1043.85,260.217,,
915.3449,194.8541,1315.1,293.75,,
2192.744,229.3549,1204.6,280.2,,
805.8864,157.1203,1558.333,261.4,,
1153.611,197.7528,893.867,161.783,,
1013.026,120.8566,794.417,222.933,,
1349.606,163.1919,681.8,151.017,,
1151.849,173.8072,1058.517,156.717,,
1495.759,194.3556,1122.617,220.417,,
1632.279,149.8146,759.317,137.55,,
1179.389,136.548,909.783,137.3,,
1331.116,163.5161,1019.717,234.85,,
1239.666,167.9219,804.417,157.467,,
1151.505,136.1845,631.533,93.433,,
1032.178,146.8209,1630.833,226.4,,
1374.138,234.8134,870.1,102.3,,
