X,Y,Z
114.864297407484,125.426950360472,10.6493167325842
116.417475992221,123.863270224041,11.0933314738967
117.264390199346,126.493899137921,12.439957756822
118.993232385305,123.803555123233,12.8040925592491
115.694779338684,123.111988494732,15.2942421748613
117.144535530702,123.18758275541,16.4521558133055
117.133264915801,121.928899952187,18.7838002082891
116.044369944267,130.027881358615,15.7317696640392
117.139098773236,132.043462883387,17.6324735570622
116.308781288303,128.744913616877,18.0516369932958
120.434513069177,122.934888774067,15.7107241416151
123.514374214096,122.589339504887,16.7809225032409
119.964855966674,134.739198117083,19.5134611206789
124.769562263792,143.116532891952,16.8649053142666
123.788563220098,141.219993731209,17.3809590553593
120.849594981753,135.34814657355,12.884077129135
136.330162335524,137.319027721505,12.4399432461996
130.755425960438,133.567652087938,13.6083736920566
132.108721285786,139.28393858676,13.9306475286855
130.518590927562,142.368671192988,16.0002807263478
140.063914979863,134.970042612586,13.3554685880724
140.511337764653,139.617816692599,14.2449500822421
137.304353309215,144.698873555951,13.4878930456872
138.612877663186,131.522868927336,12.5813021557153
136.859572175135,130.880797154581,12.0010202588226
140.661775679491,128.730088042392,14.1335335264863
140.13600273232,125.9979286167,13.9750227046856
139.535103282012,122.437742449075,13.7653579664368
137.955185028795,117.297515044748,13.4889858532286
135.145325441424,116.988940958951,13.5728019187359
135.447593612798,114.183839046456,13.3789173832715
133.158070215132,125.463304514327,14.8015620143361
133.961648031585,122.05794624008,14.5500412062068
131.346997330429,129.753934631513,15.751305442559
138.24984615035,145.874533478812,20.1658289159928
140.85896990616,147.033431185655,20.1448210141338
130.499607188806,146.594376764427,19.8960325876579
133.227669772924,135.146217354537,16.0329722652774
132.666729031136,108.352882321085,12.4986667252339
128.457686264913,105.463330899399,11.2595145650159
125.907002102167,105.799386257419,9.56582525490067
110.309057284194,96.9653975378475,8.36067702311403
104.685590566838,112.447916330991,14.4034948212054
104.686109307206,109.390846771058,14.2043580927135
104.768186549905,98.3058361538228,12.8760150204303
120.944298222402,123.278893022158,13.9043699250285
113.894823612838,119.176576900404,13.8978763664675
