X,Y,Z
64.1761276509554,134.300653537731,18.4497340629034
62.1329401650866,133.850107943047,19.888781340562
60.5649224951428,133.467091778939,20.6647888021468
57.6010434745352,133.862512535236,21.6798863109361
51.4531594471377,132.434813227774,23.559910825611
43.1736395694151,124.545867245208,22.1495217801762
39.8124424482461,121.835322728994,23.5739925032537
31.2192292801973,118.308899643399,23.1616950711831
28.5249094409851,118.086198065239,21.6597513332068
32.1251830464094,114.395217481402,20.2996793970632
35.263784851479,112.170557079461,17.8990221566017
31.0178824255191,105.933473730296,17.9357901427771
31.436411927873,108.21158976194,17.4573031756745
36.9174302077899,100.540070585743,14.3231716332232
35.292772224275,102.367641022701,15.2837319437792
46.6175273093253,122.408124322964,15.4588786123466
45.51310498596,119.653844353188,14.7692797757755
34.6470385486789,111.017620501708,14.8428810215843
36.8421449576083,100.58781369752,13.728195917717
30.7787471711629,125.207677831045,17.0793523905997
37.4380990767765,131.028557896639,16.095467826825
32.5577601627072,128.088101885536,16.4770481336942
35.6732270197605,127.596234348236,16.6516962485209
40.2691718486427,133.794453711038,17.1758500772
42.4413695411103,132.891577565628,18.6535399065694
42.4317070835116,136.159216251214,19.5253033108436
41.5865015053562,144.752573493029,19.7134820048068
39.508927968944,145.682808492622,21.2676794018479
46.5229056094702,135.60252035152,20.7879511942188
53.5985771640233,135.907307352571,19.3087553614308
23.0288160350458,113.992841127409,18.9850678670396
24.7429002032705,111.565628084761,18.5734074367804
23.4309692243044,109.029643765251,18.5359156026136
20.4805371689618,110.960906550966,17.8475543297665
26.7056184582886,118.047294668483,18.2368354169543
23.9189315520601,119.330139877235,18.6923892085517
34.7148967198287,122.030728963231,16.3263612738978
22.9625272545524,126.081445751194,24.2218224397374
23.7088588874776,135.760883140397,28.5540983365304
28.230186910289,139.920100300119,30.1407425655076
36.3951941277087,137.825666702525,27.7228520495025
37.8898130340661,143.963854108714,28.0262819281454
