 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,124,124,124,92.040,277.680,251
2,0.000,169,169,169,84.240,161.200,251
3,0.000,126,126,126,87.880,271.440,239
4,0.000,124,124,124,80.080,164.840,239
5,0.000,136,136,136,84.240,267.800,223
6,0.000,128,128,128,76.960,158.600,223
7,0.000,163,163,163,83.200,266.240,210
8,0.000,145,145,145,77.480,159.120,210
9,0.000,126,126,126,80.080,254.800,198
10,0.000,125,125,125,75.400,151.320,198
11,0.000,141,141,141,78.000,249.600,183
12,0.000,123,123,123,73.320,156.000,183
13,0.000,135,135,135,75.920,242.840,164
14,0.000,122,122,122,69.160,161.200,164
15,0.000,135,135,135,72.280,233.480,150
16,0.000,119,119,119,66.040,163.280,150
17,0.000,130,130,130,71.240,225.160,142
18,0.000,129,129,129,65.000,161.200,142
19,0.000,129,129,129,73.320,232.960,149
20,0.000,122,122,122,65.520,163.280,149
21,0.000,129,129,129,74.360,237.120,158
22,0.000,114,114,114,65.000,159.120,158
23,0.000,136,136,136,75.920,244.400,166
24,0.000,122,122,122,69.160,165.880,166
25,0.000,140,140,140,80.080,250.640,179
26,0.000,124,124,124,72.280,168.480,179
27,0.000,139,139,139,79.040,255.320,191
28,0.000,124,124,124,74.880,170.040,191
29,0.000,135,135,135,81.640,256.880,205
30,0.000,123,123,123,75.920,174.720,205
31,0.000,132,132,132,83.720,264.160,215
32,0.000,132,132,132,78.000,175.760,215
33,0.000,125,125,125,86.840,268.840,226
34,0.000,131,131,131,80.080,175.760,226
35,0.000,136,136,136,86.840,276.120,237
36,0.000,164,164,164,81.120,190.320,237
37,0.000,139,139,139,89.440,280.800,247
38,0.000,122,122,122,83.200,189.280,247
