 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,142,142,142,81.640,249.080,120
2,0.000,128,128,128,72.800,154.440,120
3,0.000,126,126,126,87.360,257.400,133
4,0.000,138,138,138,78.520,162.240,133
5,0.000,135,135,135,89.960,264.160,146
6,0.000,122,122,122,79.040,164.320,146
7,0.000,136,136,136,89.960,269.360,159
8,0.000,123,123,123,83.200,164.840,159
9,0.000,144,144,144,97.240,280.800,175
10,0.000,118,118,118,85.800,172.640,175
11,0.000,133,133,133,99.840,283.400,188
12,0.000,126,126,126,87.360,171.600,188
13,0.000,147,147,147,100.880,284.440,200
14,0.000,122,122,122,91.000,184.080,200
15,0.000,136,136,136,101.920,286.520,211
16,0.000,184,184,184,95.160,187.720,211
17,0.000,129,129,129,104.520,288.080,221
18,0.000,143,143,143,95.160,190.840,221
19,0.000,137,137,137,107.120,288.080,232
20,0.000,135,135,135,96.720,184.080,232
21,0.000,158,158,158,112.320,303.160,248
22,0.000,128,128,128,98.280,188.240,248
23,0.000,159,159,159,112.320,301.600,251
24,0.000,121,121,121,99.320,191.360,251
25,0.000,147,147,147,108.160,296.400,224
26,0.000,143,143,143,95.680,179.920,224
27,0.000,147,147,147,102.960,291.720,202
28,0.000,126,126,126,93.080,196.040,202
29,0.000,129,129,129,99.840,281.320,190
30,0.000,119,119,119,90.480,191.360,190
31,0.000,127,127,127,96.720,277.160,180
32,0.000,123,123,123,84.760,178.880,180
33,0.000,133,133,133,94.120,273.000,168
34,0.000,134,134,134,85.280,183.040,168
35,0.000,134,134,134,93.080,268.320,156
36,0.000,128,128,128,83.720,182.520,156
37,0.000,149,149,149,89.440,263.120,140
38,0.000,120,120,120,79.040,173.160,140
39,0.000,139,139,139,82.160,252.200,125
40,0.000,146,146,146,76.960,169.000,125
41,0.000,144,144,144,85.800,257.920,132
42,0.000,130,130,130,77.480,169.000,132
43,0.000,137,137,137,91.000,270.920,158
44,0.000,124,124,124,83.720,158.600,158
45,0.000,140,140,140,97.240,280.800,177
46,0.000,126,126,126,84.240,175.240,177
47,0.000,125,125,125,100.880,277.160,196
48,0.000,127,127,127,91.520,185.120,196
