 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,163,163,163,79.733,118.560,99
2,0.000,178,178,178,81.120,195.520,99
3,0.000,154,154,154,83.893,205.920,112
4,0.000,122,122,122,80.427,115.787,112
5,0.000,147,147,147,85.280,210.080,118
6,0.000,124,124,124,82.680,126.360,118
7,0.000,158,158,158,89.960,222.560,128
8,0.000,124,124,124,82.680,126.360,128
9,0.000,162,162,162,91.000,228.280,139
10,0.000,120,120,120,85.800,120.640,139
11,0.000,164,164,164,91.520,234.520,149
12,0.000,125,125,125,88.400,122.720,149
13,0.000,135,135,135,92.560,236.600,156
14,0.000,125,125,125,89.440,120.640,156
15,0.000,152,152,152,93.600,241.800,165
16,0.000,126,126,126,90.480,119.600,165
17,0.000,159,159,159,94.640,247.000,176
18,0.000,134,134,134,92.040,128.440,176
19,0.000,166,166,166,100.360,253.760,187
20,0.000,123,123,123,93.080,133.120,187
21,0.000,164,164,164,102.960,261.040,204
22,0.000,126,126,126,95.160,149.240,204
23,0.000,179,179,179,104.000,264.680,214
24,0.000,119,119,119,96.720,154.960,214
25,0.000,159,159,159,108.680,267.800,222
26,0.000,125,125,125,96.200,156.520,222
27,0.000,154,154,154,109.200,272.480,234
28,0.000,138,138,138,100.880,164.320,234
29,0.000,185,185,185,99.320,254.800,191
30,0.000,116,116,116,94.120,153.400,191
31,0.000,147,147,147,96.200,248.560,179
32,0.000,124,124,124,93.600,144.560,179
33,0.000,173,173,173,94.120,242.320,164
34,0.000,116,116,116,91.000,141.440,164
35,0.000,142,142,142,91.000,229.320,146
36,0.000,126,126,126,87.360,127.920,146
