 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,127,127,127,83.720,164.840,141
2,0.000,141,141,141,82.160,216.320,141
3,0.000,128,128,128,88.400,234.000,169
4,0.000,126,126,126,88.920,146.120,169
5,0.000,133,133,133,87.880,237.640,176
6,0.000,133,133,133,87.880,154.960,176
7,0.000,138,138,138,91.000,240.760,184
8,0.000,114,114,114,92.040,149.760,184
9,0.000,146,146,146,91.000,244.400,191
10,0.000,118,118,118,91.000,155.480,191
11,0.000,140,140,140,94.120,250.640,198
12,0.000,116,116,116,93.080,154.440,198
13,0.000,122,122,122,95.160,245.960,206
14,0.000,126,126,126,96.200,156.520,206
15,0.000,134,134,134,97.240,253.760,221
16,0.000,115,115,115,96.200,161.720,221
17,0.000,125,125,125,102.440,249.080,241
18,0.000,131,131,131,98.800,159.120,241
19,0.000,126,126,126,96.200,240.240,207
20,0.000,119,119,119,95.160,159.120,207
21,0.000,126,126,126,90.480,234.000,189
22,0.000,119,119,119,91.000,148.720,189
23,0.000,132,132,132,92.040,239.720,196
24,0.000,119,119,119,92.560,152.360,196
25,0.000,146,146,146,85.800,228.800,160
26,0.000,134,134,134,87.880,161.200,160
27,0.000,133,133,133,88.920,230.360,167
28,0.000,124,124,124,88.400,163.280,167
29,0.000,137,137,137,88.920,236.600,174
30,0.000,130,130,130,89.440,161.200,174
31,0.000,129,129,129,89.960,236.080,182
32,0.000,125,125,125,92.040,154.960,182
