 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,183,0,183,183,183,70.027,230.533,69.680,230.360,0.520,0.520,83
2,0.000,119,0,119,119,119,59.627,156.347,59.280,156.000,0.520,0.520,83
3,0.000,152,0,152,152,152,70.373,231.227,70.200,230.880,0.520,0.520,89
4,0.000,128,0,128,128,128,59.280,149.413,59.280,149.240,0.520,0.520,89
5,0.000,159,0,159,159,159,73.147,234.693,72.800,234.520,0.520,0.520,96
6,0.000,117,0,117,117,117,58.587,151.840,58.240,151.840,0.520,0.520,96
7,0.000,155,0,155,155,155,74.187,237.467,73.840,237.120,0.520,0.520,103
8,0.000,126,0,126,126,126,62.053,154.960,61.880,154.960,0.520,0.520,103
9,0.000,152,0,152,152,152,76.267,238.853,75.920,238.680,0.520,0.520,110
10,0.000,126,0,126,126,126,63.440,154.267,63.440,153.920,0.520,0.520,110
11,0.000,149,0,149,149,149,78.347,242.320,78.000,242.320,0.520,0.520,117
12,0.000,115,0,115,115,115,64.480,158.427,64.480,158.080,0.520,0.520,117
13,0.000,148,0,148,148,148,80.427,243.707,80.080,243.360,0.520,0.520,124
14,0.000,127,0,127,127,127,67.253,160.507,67.080,160.160,0.520,0.520,124
15,0.000,137,0,137,137,137,81.467,245.787,81.120,245.440,0.520,0.520,131
16,0.000,116,0,116,116,116,69.333,164.667,69.160,164.320,0.520,0.520,131
17,0.000,132,0,132,132,132,84.240,249.947,84.240,249.600,0.520,0.520,139
18,0.000,121,0,121,121,121,69.333,166.400,69.160,166.400,0.520,0.520,139
19,0.000,126,0,126,126,126,71.760,170.907,71.760,170.560,0.520,0.520,146
20,0.000,137,0,137,137,137,84.933,252.027,84.760,251.680,0.520,0.520,146
21,0.000,135,0,135,135,135,88.747,256.187,88.400,255.840,0.520,0.520,153
22,0.000,121,0,121,121,121,77.307,177.840,76.960,177.840,0.520,0.520,153
23,0.000,128,0,128,128,128,87.707,255.493,87.360,255.320,0.520,0.520,160
24,0.000,123,0,123,123,123,81.467,184.773,81.120,184.600,0.520,0.520,160
25,0.000,130,0,130,130,130,90.480,257.573,90.480,257.400,0.520,0.520,167
26,0.000,116,0,116,116,116,80.427,177.147,80.080,176.800,0.520,0.520,167
27,0.000,131,0,131,131,131,90.133,257.920,89.960,257.920,0.520,0.520,174
28,0.000,119,0,119,119,119,80.080,185.467,80.080,185.120,0.520,0.520,174
29,0.000,121,0,121,121,121,92.213,261.040,92.040,261.040,0.520,0.520,181
30,0.000,118,0,118,118,118,82.853,190.320,82.680,190.320,0.520,0.520,181
31,0.000,124,0,124,124,124,91.520,263.120,91.520,263.120,0.520,0.520,187
32,0.000,120,0,120,120,120,85.973,204.880,85.800,204.880,0.520,0.520,187
33,0.000,121,0,121,121,121,94.987,265.893,94.640,265.720,0.520,0.520,194
34,0.000,118,0,118,118,118,85.280,198.293,85.280,198.120,0.520,0.520,194
35,0.000,122,0,122,122,122,99.493,266.587,99.320,266.240,0.520,0.520,201
36,0.000,121,0,121,121,121,86.667,196.560,86.320,196.560,0.520,0.520,201
37,0.000,122,0,122,122,122,97.760,271.787,97.760,271.440,0.520,0.520,207
38,0.000,122,0,122,122,122,89.093,200.373,88.920,200.200,0.520,0.520,207
39,0.000,122,0,122,122,122,97.760,269.013,97.760,268.840,0.520,0.520,214
40,0.000,122,0,122,122,122,91.173,208.000,91.000,208.000,0.520,0.520,214
41,0.000,123,0,123,123,123,99.493,271.093,99.320,270.920,0.520,0.520,222
42,0.000,121,0,121,121,121,93.253,209.040,93.080,209.040,0.520,0.520,222
43,0.000,123,0,123,123,123,102.960,270.053,102.960,269.880,0.520,0.520,232
44,0.000,122,0,122,122,122,96.720,221.867,96.720,221.520,0.520,0.520,232
45,0.000,140,0,140,140,140,89.093,258.960,88.920,258.960,0.520,0.520,169
46,0.000,123,0,123,123,123,78.693,182.693,78.520,182.520,0.520,0.520,169
47,0.000,132,0,132,132,132,82.853,248.213,82.680,248.040,0.520,0.520,141
48,0.000,132,0,132,132,132,73.840,180.613,73.840,180.440,0.520,0.520,141
49,0.000,149,0,149,149,149,80.080,244.400,80.080,244.400,0.520,0.520,132
50,0.000,120,0,120,120,120,72.453,178.187,72.280,177.840,0.520,0.520,132
