 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,129,0,129,129,129,106.600,138.060,106.600,137.800,0.520,0.520,100
2,0.000,208,0,208,208,208,96.980,215.800,96.720,215.800,0.520,0.520,100
3,0.000,135,0,135,135,135,106.600,137.540,106.600,137.280,0.520,0.520,113
4,0.000,143,0,143,143,143,100.620,222.560,100.360,222.560,0.520,0.520,113
5,0.000,157,0,157,157,157,107.900,142.480,107.640,142.480,0.520,0.520,120
6,0.000,139,0,139,139,139,100.880,224.380,100.880,224.120,0.520,0.520,120
7,0.000,136,0,136,136,136,109.980,146.900,109.720,146.640,0.520,0.520,128
8,0.000,141,0,141,141,141,101.140,226.200,100.880,226.200,0.520,0.520,128
9,0.000,129,0,129,129,129,110.500,151.060,110.240,150.800,0.520,0.520,137
10,0.000,131,0,131,131,131,103.220,229.320,102.960,229.320,0.520,0.520,137
11,0.000,137,0,137,137,137,111.800,146.900,111.800,146.640,0.520,0.520,144
12,0.000,132,0,132,132,132,102.440,230.880,102.440,230.880,0.520,0.520,144
13,0.000,144,0,144,144,144,116.740,145.340,116.480,145.080,0.520,0.520,158
14,0.000,134,0,134,134,134,105.040,237.380,105.040,237.120,0.520,0.520,158
15,0.000,141,0,141,141,141,118.300,155.740,118.040,155.480,0.520,0.520,176
16,0.000,137,0,137,137,137,108.160,245.440,108.160,245.440,0.520,0.520,176
17,0.000,136,0,136,136,136,120.640,158.340,120.640,158.080,0.520,0.520,184
18,0.000,146,0,146,146,146,111.280,250.380,111.280,250.120,0.520,0.520,184
19,0.000,132,0,132,132,132,120.380,154.960,120.120,154.960,0.520,0.520,192
20,0.000,148,0,148,148,148,109.720,251.680,109.720,251.680,0.520,0.520,192
21,0.000,130,0,130,130,130,123.240,157.040,123.240,157.040,0.520,0.520,199
22,0.000,140,0,140,140,140,113.360,253.760,113.360,253.760,0.520,0.520,199
23,0.000,130,0,130,130,130,123.500,177.320,123.240,177.320,0.520,0.520,208
24,0.000,157,0,157,157,157,114.920,257.660,114.920,257.400,0.520,0.520,208
25,0.000,132,0,132,132,132,124.800,176.020,124.800,175.760,0.520,0.520,217
26,0.000,162,0,162,162,162,115.960,260.000,115.960,260.000,0.520,0.520,217
27,0.000,133,0,133,133,133,126.620,181.480,126.360,181.480,0.520,0.520,227
28,0.000,155,0,155,155,155,116.740,263.900,116.480,263.640,0.520,0.520,227
29,0.000,127,0,127,127,127,127.920,176.800,127.920,176.800,0.520,0.520,236
30,0.000,164,0,164,164,164,119.080,264.940,119.080,264.680,0.520,0.520,236
31,0.000,125,0,125,125,125,130.000,186.940,130.000,186.680,0.520,0.520,243
32,0.000,160,0,160,160,160,118.820,268.060,118.560,267.800,0.520,0.520,243
33,0.000,130,0,130,130,130,132.860,192.920,132.600,192.920,0.520,0.520,251
34,0.000,142,0,142,142,142,121.420,270.920,121.160,270.920,0.520,0.520,251
35,0.000,128,0,128,128,128,128.440,185.900,128.440,185.640,0.520,0.520,232
36,0.000,146,0,146,146,146,117.260,264.160,117.000,264.160,0.520,0.520,232
37,0.000,126,0,126,126,126,123.240,180.700,123.240,180.440,0.520,0.520,204
38,0.000,135,0,135,135,135,114.140,253.500,113.880,253.240,0.520,0.520,204
39,0.000,124,0,124,124,124,121.160,184.860,121.160,184.600,0.520,0.520,191
40,0.000,134,0,134,134,134,111.280,250.640,111.280,250.640,0.520,0.520,191
41,0.000,144,0,144,144,144,119.080,177.060,119.080,176.800,0.520,0.520,179
42,0.000,142,0,142,142,142,108.160,248.040,108.160,248.040,0.520,0.520,179
43,0.000,147,0,147,147,147,115.180,180.700,114.920,180.440,0.520,0.520,167
44,0.000,134,0,134,134,134,107.120,242.580,107.120,242.320,0.520,0.520,167
45,0.000,124,0,124,124,124,110.500,179.400,110.240,179.400,0.520,0.520,151
46,0.000,129,0,129,129,129,102.440,232.440,102.440,232.440,0.520,0.520,151
47,0.000,129,0,129,129,129,107.380,167.440,107.120,167.440,0.520,0.520,126
48,0.000,130,0,130,130,130,102.180,222.560,101.920,222.560,0.520,0.520,126
49,0.000,188,0,188,188,188,103.740,170.560,103.480,170.560,0.520,0.520,107
50,0.000,142,0,142,142,142,97.240,214.240,97.240,214.240,0.520,0.520,107
51,0.000,134,0,134,134,134,103.740,162.760,103.480,162.760,0.520,0.520,99
52,0.000,134,0,134,134,134,95.160,211.380,95.160,211.120,0.520,0.520,99
53,0.000,139,0,139,139,139,115.440,178.620,115.440,178.360,0.520,0.520,170
54,0.000,153,0,153,153,153,108.940,244.920,108.680,244.920,0.520,0.520,170
55,0.000,119,0,119,119,119,122.980,185.380,122.720,185.120,0.520,0.520,206
56,0.000,161,0,161,161,161,114.400,257.400,114.400,257.400,0.520,0.520,206
57,0.000,126,0,126,126,126,127.400,182.520,127.400,182.520,0.520,0.520,231
58,0.000,151,0,151,151,151,119.600,266.500,119.600,266.240,0.520,0.520,231
