 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,136,0,136,136,136,93.860,132.860,93.600,132.600,0.520,0.520,46
2,0.000,195,0,195,195,195,95.940,184.860,95.680,184.600,0.520,0.520,46
3,0.000,119,0,119,119,119,94.640,133.120,94.640,133.120,0.520,0.520,51
4,0.000,144,0,144,144,144,95.940,187.980,95.680,187.720,0.520,0.520,51
5,0.000,124,0,124,124,124,96.200,133.120,96.200,133.120,0.520,0.520,57
6,0.000,141,0,141,141,141,96.200,193.180,96.200,192.920,0.520,0.520,57
7,0.000,124,0,124,124,124,98.280,134.160,98.280,134.160,0.520,0.520,63
8,0.000,135,0,135,135,135,95.940,194.220,95.680,193.960,0.520,0.520,63
9,0.000,152,0,152,152,152,97.240,136.760,97.240,136.760,0.520,0.520,70
10,0.000,170,0,170,170,170,94.120,199.680,94.120,199.680,0.520,0.520,70
11,0.000,116,0,116,116,116,99.580,134.160,99.320,134.160,0.520,0.520,84
12,0.000,146,0,146,146,146,99.060,203.840,98.800,203.840,0.520,0.520,84
13,0.000,121,0,121,121,121,102.700,129.740,102.440,129.480,0.520,0.520,91
14,0.000,119,0,119,119,119,99.840,205.400,99.840,205.400,0.520,0.520,91
15,0.000,120,0,120,120,120,103.220,132.860,102.960,132.600,0.520,0.520,99
16,0.000,148,0,148,148,148,103.480,208.780,103.480,208.520,0.520,0.520,99
17,0.000,122,0,122,122,122,103.740,136.240,103.480,136.240,0.520,0.520,106
18,0.000,134,0,134,134,134,101.920,212.160,101.920,212.160,0.520,0.520,106
19,0.000,126,0,126,126,126,103.480,137.540,103.480,137.280,0.520,0.520,114
20,0.000,140,0,140,140,140,104.000,218.400,104.000,218.400,0.520,0.520,114
21,0.000,120,0,120,120,120,104.520,133.120,104.520,133.120,0.520,0.520,122
22,0.000,148,0,148,148,148,104.260,221.000,104.000,221.000,0.520,0.520,122
23,0.000,112,0,112,112,112,103.220,131.560,102.960,131.560,0.520,0.520,129
24,0.000,156,0,156,156,156,106.080,226.200,106.080,226.200,0.520,0.520,129
25,0.000,119,0,119,119,119,104.780,139.880,104.520,139.880,0.520,0.520,136
26,0.000,124,0,124,124,124,105.300,224.120,105.040,224.120,0.520,0.520,136
27,0.000,124,0,124,124,124,106.080,130.000,106.080,130.000,0.520,0.520,144
28,0.000,132,0,132,132,132,106.860,228.020,106.600,227.760,0.520,0.520,144
29,0.000,121,0,121,121,121,105.040,134.160,105.040,134.160,0.520,0.520,151
30,0.000,122,0,122,122,122,107.380,225.680,107.120,225.680,0.520,0.520,151
31,0.000,122,0,122,122,122,107.380,138.060,107.120,137.800,0.520,0.520,158
32,0.000,132,0,132,132,132,105.300,231.660,105.040,231.400,0.520,0.520,158
33,0.000,120,0,120,120,120,107.380,144.300,107.120,144.040,0.520,0.520,165
34,0.000,154,0,154,154,154,107.120,235.300,107.120,235.040,0.520,0.520,165
35,0.000,120,0,120,120,120,103.220,137.020,102.960,136.760,0.520,0.520,134
36,0.000,138,0,138,138,138,107.120,224.120,107.120,224.120,0.520,0.520,134
37,0.000,122,0,122,122,122,104.000,133.640,104.000,133.640,0.520,0.520,116
38,0.000,133,0,133,133,133,104.000,214.760,104.000,214.760,0.520,0.520,116
39,0.000,115,0,115,115,115,103.220,134.680,102.960,134.680,0.520,0.520,111
40,0.000,126,0,126,126,126,102.960,213.980,102.960,213.720,0.520,0.520,111
41,0.000,123,0,123,123,123,103.480,132.080,103.480,132.080,0.520,0.520,103
42,0.000,150,0,150,150,150,101.920,210.080,101.920,210.080,0.520,0.520,103
43,0.000,121,0,121,121,121,102.960,132.860,102.960,132.600,0.520,0.520,96
44,0.000,121,0,121,121,121,103.480,206.700,103.480,206.440,0.520,0.520,96
45,0.000,113,0,113,113,113,101.920,131.820,101.920,131.560,0.520,0.520,88
46,0.000,151,0,151,151,151,102.700,207.220,102.440,206.960,0.520,0.520,88
47,0.000,113,0,113,113,113,100.880,131.560,100.880,131.560,0.520,0.520,82
48,0.000,135,0,135,135,135,99.840,199.940,99.840,199.680,0.520,0.520,82
49,0.000,118,0,118,118,118,100.620,135.980,100.360,135.720,0.520,0.520,77
50,0.000,122,0,122,122,122,99.580,199.160,99.320,199.160,0.520,0.520,77
51,0.000,115,0,115,115,115,101.140,138.060,100.880,137.800,0.520,0.520,71
52,0.000,117,0,117,117,117,97.500,194.740,97.240,194.480,0.520,0.520,71
53,0.000,116,0,116,116,116,101.660,135.460,101.400,135.200,0.520,0.520,68
54,0.000,132,0,132,132,132,96.460,195.520,96.200,195.520,0.520,0.520,68
55,0.000,115,0,115,115,115,102.180,133.900,101.920,133.640,0.520,0.520,58
56,0.000,118,0,118,118,118,95.680,188.760,95.680,188.760,0.520,0.520,58
57,0.000,113,0,113,113,113,101.920,133.640,101.920,133.640,0.520,0.520,52
58,0.000,139,0,139,139,139,94.640,189.540,94.640,189.280,0.520,0.520,52
59,0.000,120,0,120,120,120,101.920,133.380,101.920,133.120,0.520,0.520,43
60,0.000,140,0,140,140,140,93.340,180.700,93.080,180.440,0.520,0.520,43
61,0.000,112,0,112,112,112,103.480,131.300,103.480,131.040,0.520,0.520,37
62,0.000,145,0,145,145,145,90.740,175.240,90.480,175.240,0.520,0.520,37
