 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,138,138,138,73.840,211.120,96
2,0.000,116,116,116,76.440,154.960,96
3,0.000,149,149,149,73.320,218.400,102
4,0.000,122,122,122,77.480,163.800,102
5,0.000,137,137,137,74.360,219.960,107
6,0.000,130,130,130,78.520,155.480,107
7,0.000,138,138,138,75.400,224.120,113
8,0.000,158,158,158,79.560,155.480,113
9,0.000,132,132,132,80.080,231.920,126
10,0.000,164,164,164,81.640,155.480,126
11,0.000,137,137,137,81.120,232.960,133
12,0.000,123,123,123,84.240,149.240,133
13,0.000,176,176,176,83.200,238.680,140
14,0.000,125,125,125,83.720,154.960,140
15,0.000,145,145,145,87.880,243.880,148
16,0.000,116,116,116,88.920,166.920,148
17,0.000,138,138,138,85.280,245.960,155
18,0.000,123,123,123,85.800,165.880,155
19,0.000,155,155,155,85.800,251.160,163
20,0.000,119,119,119,88.920,159.640,163
21,0.000,138,138,138,87.880,251.680,170
22,0.000,112,112,112,88.920,159.120,170
23,0.000,141,141,141,88.920,252.720,177
24,0.000,115,115,115,90.480,160.160,177
25,0.000,130,130,130,92.040,254.280,185
26,0.000,118,118,118,93.600,160.160,185
27,0.000,139,139,139,92.560,262.080,193
28,0.000,119,119,119,92.040,165.880,193
29,0.000,140,140,140,95.160,264.160,201
30,0.000,146,146,146,91.000,170.040,201
31,0.000,139,139,139,97.240,266.760,208
32,0.000,125,125,125,91.520,180.440,208
33,0.000,137,137,137,96.200,267.280,215
34,0.000,123,123,123,94.120,179.400,215
35,0.000,134,134,134,98.280,268.840,223
36,0.000,133,133,133,96.720,178.880,223
37,0.000,142,142,142,96.200,269.880,214
38,0.000,125,125,125,94.640,177.840,214
39,0.000,144,144,144,93.080,262.600,191
40,0.000,175,175,175,92.040,174.720,191
41,0.000,138,138,138,87.360,248.040,162
42,0.000,133,133,133,87.880,173.160,162
43,0.000,140,140,140,86.840,246.480,156
44,0.000,118,118,118,86.840,173.680,156
45,0.000,155,155,155,82.160,236.600,131
46,0.000,146,146,146,84.240,162.760,131
