 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,170,170,170,72.280,242.840,121
2,0.000,128,128,128,77.480,176.280,121
3,0.000,136,136,136,74.360,242.840,127
4,0.000,118,118,118,74.360,185.120,127
5,0.000,149,149,149,73.320,247.520,133
6,0.000,124,124,124,76.960,170.560,133
7,0.000,133,133,133,75.400,248.560,145
8,0.000,129,129,129,76.440,167.960,145
9,0.000,137,137,137,73.320,249.080,159
10,0.000,128,128,128,74.360,164.320,159
11,0.000,133,133,133,73.320,248.560,153
12,0.000,127,127,127,79.040,165.880,153
13,0.000,136,136,136,70.200,258.440,174
14,0.000,132,132,132,75.920,164.320,174
15,0.000,132,132,132,73.840,246.480,141
16,0.000,136,136,136,77.480,156.000,141
17,0.000,130,130,130,73.320,245.440,146
18,0.000,177,177,177,82.680,162.240,146
