 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,117,117,117,73.321,148.722,110
2,0.000,132,132,132,65.001,229.843,110
3,0.000,136,136,136,63.961,234.003,116
4,0.000,121,121,121,72.801,151.842,116
5,0.000,141,141,141,66.561,240.763,125
6,0.000,135,135,135,78.001,161.202,125
7,0.000,139,139,139,68.121,246.483,132
8,0.000,119,119,119,77.481,159.122,132
9,0.000,144,144,144,67.081,247.523,139
10,0.000,121,121,121,76.961,151.322,139
11,0.000,138,138,138,71.241,253.764,147
12,0.000,117,117,117,82.681,145.602,147
13,0.000,259,259,259,69.161,258.964,153
14,0.000,128,128,128,78.521,147.682,153
15,0.000,141,141,141,71.241,258.444,159
16,0.000,125,125,125,82.161,145.602,159
17,0.000,141,141,141,70.721,260.004,165
18,0.000,120,120,120,81.121,139.362,165
19,0.000,146,146,146,73.841,266.244,172
20,0.000,124,124,124,81.121,145.082,172
21,0.000,139,139,139,74.361,267.284,180
22,0.000,114,114,114,85.281,146.642,180
23,0.000,142,142,142,73.841,268.844,188
24,0.000,120,120,120,86.321,149.762,188
25,0.000,150,150,150,75.401,273.524,194
26,0.000,119,119,119,85.801,152.882,194
27,0.000,175,175,175,74.881,278.724,202
28,0.000,117,117,117,87.361,152.882,202
29,0.000,154,154,154,73.841,280.804,211
30,0.000,124,124,124,89.961,157.042,211
31,0.000,133,133,133,77.481,279.764,220
32,0.000,148,148,148,92.041,145.602,220
33,0.000,132,132,132,77.481,283.924,229
34,0.000,119,119,119,94.121,154.962,229
35,0.000,133,133,133,78.521,288.084,239
36,0.000,127,127,127,93.601,161.202,239
37,0.000,127,127,127,83.721,286.004,248
38,0.000,126,126,126,97.241,152.882,248
39,0.000,131,131,131,81.121,289.644,251
40,0.000,197,197,197,97.761,154.442,251
