 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,134,134,134,92.040,221.520,96
2,0.000,119,119,119,96.720,143.520,96
3,0.000,222,222,222,94.640,235.040,104
4,0.000,115,115,115,98.280,144.560,104
5,0.000,149,149,149,107.120,263.640,157
6,0.000,124,124,124,102.960,148.200,157
7,0.000,138,138,138,107.640,263.640,163
8,0.000,122,122,122,104.520,153.920,163
9,0.000,135,135,135,109.200,269.880,173
10,0.000,126,126,126,105.040,167.440,173
11,0.000,163,163,163,105.560,269.880,168
12,0.000,133,133,133,105.040,170.040,168
13,0.000,140,140,140,105.560,264.680,161
14,0.000,126,126,126,105.560,167.960,161
15,0.000,144,144,144,105.560,261.560,152
16,0.000,124,124,124,101.920,170.040,152
17,0.000,149,149,149,99.320,244.400,123
18,0.000,153,153,153,98.800,157.040,123
19,0.000,135,135,135,95.160,230.880,107
20,0.000,112,112,112,92.040,143.520,107
21,0.000,135,135,135,95.680,235.560,112
22,0.000,124,124,124,94.640,144.040,112
23,0.000,168,168,168,95.160,243.360,121
24,0.000,120,120,120,95.680,149.760,121
25,0.000,147,147,147,100.360,230.360,133
26,0.000,123,123,123,100.360,173.680,133
27,0.000,141,141,141,92.560,217.880,89
28,0.000,117,117,117,98.280,146.640,89
29,0.000,161,161,161,91.000,218.920,87
30,0.000,131,131,131,97.760,149.240,87
31,0.000,141,141,141,91.520,221.000,95
32,0.000,117,117,117,98.280,145.080,95
