 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,165,0,165,165,165,76.180,136.500,75.920,136.240,0.520,0.520,109
2,0.000,194,0,194,194,194,73.320,212.420,73.320,212.160,0.520,0.520,109
3,0.000,151,0,151,151,151,79.560,133.120,79.560,133.120,0.520,0.520,126
4,0.000,162,0,162,162,162,74.880,219.700,74.880,219.440,0.520,0.520,126
5,0.000,134,0,134,134,134,79.820,139.100,79.560,138.840,0.520,0.520,134
6,0.000,165,0,165,165,165,77.220,225.680,76.960,225.680,0.520,0.520,134
7,0.000,144,0,144,144,144,80.600,139.880,80.600,139.880,0.520,0.520,142
8,0.000,156,0,156,156,156,79.040,229.060,79.040,228.800,0.520,0.520,142
9,0.000,137,0,137,137,137,82.940,140.140,82.680,139.880,0.520,0.520,149
10,0.000,167,0,167,167,167,79.040,232.180,79.040,231.920,0.520,0.520,149
11,0.000,135,0,135,135,135,83.460,138.320,83.200,138.320,0.520,0.520,156
12,0.000,166,0,166,166,166,81.120,235.300,81.120,235.040,0.520,0.520,156
13,0.000,132,0,132,132,132,82.940,138.060,82.680,137.800,0.520,0.520,165
14,0.000,174,0,174,174,174,83.980,239.720,83.720,239.720,0.520,0.520,165
15,0.000,145,0,145,145,145,85.540,144.560,85.280,144.560,0.520,0.520,174
16,0.000,166,0,166,166,166,86.320,243.360,86.320,243.360,0.520,0.520,174
17,0.000,129,0,129,129,129,85.800,139.620,85.800,139.360,0.520,0.520,183
18,0.000,191,0,191,191,191,85.540,245.960,85.280,245.960,0.520,0.520,183
19,0.000,141,0,141,141,141,85.800,140.140,85.800,139.880,0.520,0.520,191
20,0.000,235,0,235,235,235,87.620,251.680,87.360,251.680,0.520,0.520,191
21,0.000,149,0,149,149,149,87.100,145.340,86.840,145.080,0.520,0.520,201
22,0.000,209,0,209,209,209,88.400,255.060,88.400,254.800,0.520,0.520,201
23,0.000,135,0,135,135,135,91.260,152.360,91.000,152.360,0.520,0.520,216
24,0.000,194,0,194,194,194,90.740,259.480,90.480,259.480,0.520,0.520,216
25,0.000,159,0,159,159,159,92.820,159.640,92.560,159.640,0.520,0.520,226
26,0.000,159,0,159,159,159,93.080,262.080,93.080,262.080,0.520,0.520,226
27,0.000,131,0,131,131,131,96.980,165.100,96.720,164.840,0.520,0.520,236
28,0.000,160,0,160,160,160,95.680,266.760,95.680,266.760,0.520,0.520,236
29,0.000,226,0,226,226,226,92.820,159.640,92.560,159.640,0.520,0.520,218
30,0.000,168,0,168,168,168,91.260,260.520,91.000,260.520,0.520,0.520,218
31,0.000,134,0,134,134,134,86.840,152.880,86.840,152.880,0.520,0.520,198
32,0.000,196,0,196,196,196,88.660,252.980,88.400,252.720,0.520,0.520,198
33,0.000,126,0,126,126,126,87.100,151.580,86.840,151.320,0.520,0.520,175
34,0.000,205,0,205,205,205,85.280,244.660,85.280,244.400,0.520,0.520,175
35,0.000,126,0,126,126,126,84.760,147.680,84.760,147.680,0.520,0.520,182
36,0.000,160,0,160,160,160,87.360,244.660,87.360,244.400,0.520,0.520,182
37,0.000,146,0,146,146,146,82.420,141.700,82.160,141.440,0.520,0.520,158
38,0.000,190,0,190,190,190,82.420,237.120,82.160,237.120,0.520,0.520,158
39,0.000,130,0,130,130,130,81.900,144.560,81.640,144.560,0.520,0.520,146
40,0.000,159,0,159,159,159,79.820,230.360,79.560,230.360,0.520,0.520,146
41,0.000,142,0,142,142,142,77.480,136.760,77.480,136.760,0.520,0.520,117
42,0.000,153,0,153,153,153,75.400,215.020,75.400,214.760,0.520,0.520,117
43,0.000,155,0,155,155,155,76.440,138.060,76.440,137.800,0.520,0.520,105
44,0.000,157,0,157,157,157,71.760,207.480,71.760,207.480,0.520,0.520,105
