 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,249,0,249,249,249,82.853,257.573,82.680,257.400,0.520,0.520,121
2,0.000,150,0,150,150,150,77.653,173.333,77.480,173.160,0.520,0.520,121
3,0.000,147,0,147,147,147,83.200,256.880,83.200,256.880,0.520,0.520,127
4,0.000,127,0,127,127,127,78.000,173.333,78.000,173.160,0.520,0.520,127
5,0.000,132,0,132,132,132,79.040,165.360,79.040,165.360,0.520,0.520,134
6,0.000,174,0,174,174,174,84.587,263.813,84.240,263.640,0.520,0.520,134
7,0.000,149,0,149,149,149,87.360,265.200,87.360,265.200,0.520,0.520,142
8,0.000,118,0,118,118,118,81.120,173.680,81.120,173.680,0.520,0.520,142
9,0.000,163,0,163,163,163,89.093,269.360,88.920,269.360,0.520,0.520,149
10,0.000,119,0,119,119,119,82.160,172.293,82.160,172.120,0.520,0.520,149
11,0.000,145,0,145,145,145,88.747,271.440,88.400,271.440,0.520,0.520,156
12,0.000,117,0,117,117,117,86.667,177.147,86.320,176.800,0.520,0.520,156
13,0.000,139,0,139,139,139,92.213,274.213,92.040,274.040,0.520,0.520,163
14,0.000,129,0,129,129,129,87.013,180.960,86.840,180.960,0.520,0.520,163
15,0.000,147,0,147,147,147,95.680,279.760,95.680,279.760,0.520,0.520,170
16,0.000,130,0,130,130,130,85.627,183.733,85.280,183.560,0.520,0.520,170
17,0.000,149,0,149,149,149,98.107,282.880,97.760,282.880,0.520,0.520,177
18,0.000,129,0,129,129,129,89.093,196.907,88.920,196.560,0.520,0.520,177
19,0.000,155,0,155,155,155,99.840,284.960,99.840,284.960,0.520,0.520,184
20,0.000,128,0,128,128,128,90.480,195.173,90.480,195.000,0.520,0.520,184
21,0.000,152,0,152,152,152,99.147,288.080,98.800,288.080,0.520,0.520,191
22,0.000,121,0,121,121,121,91.520,200.373,91.520,200.200,0.520,0.520,191
23,0.000,145,0,145,145,145,100.880,289.813,100.880,289.640,0.520,0.520,198
24,0.000,131,0,131,131,131,93.947,208.000,93.600,208.000,0.520,0.520,198
25,0.000,140,0,140,140,140,101.920,292.587,101.920,292.240,0.520,0.520,205
26,0.000,130,0,130,130,130,94.640,205.920,94.640,205.920,0.520,0.520,205
27,0.000,130,0,130,130,130,103.653,293.627,103.480,293.280,0.520,0.520,212
28,0.000,141,0,141,141,141,94.987,205.227,94.640,204.880,0.520,0.520,212
29,0.000,125,0,125,125,125,105.040,293.627,105.040,293.280,0.520,0.520,218
30,0.000,154,0,154,154,154,98.453,203.840,98.280,203.840,0.520,0.520,218
31,0.000,150,0,150,150,150,102.960,293.973,102.960,293.800,0.520,0.520,204
32,0.000,130,0,130,130,130,94.640,200.720,94.640,200.720,0.520,0.520,204
33,0.000,153,0,153,153,153,100.187,287.040,99.840,287.040,0.520,0.520,190
34,0.000,123,0,123,123,123,89.093,192.053,88.920,191.880,0.520,0.520,190
35,0.000,131,0,131,131,131,97.413,281.840,97.240,281.840,0.520,0.520,182
36,0.000,136,0,136,136,136,90.133,196.560,89.960,196.560,0.520,0.520,182
37,0.000,144,0,144,144,144,93.253,277.680,93.080,277.680,0.520,0.520,171
38,0.000,123,0,123,123,123,83.893,178.880,83.720,178.880,0.520,0.520,171
39,0.000,139,0,139,139,139,88.747,265.200,88.400,265.200,0.520,0.520,151
40,0.000,123,0,123,123,123,83.200,177.493,83.200,177.320,0.520,0.520,151
41,0.000,135,0,135,135,135,87.360,261.733,87.360,261.560,0.520,0.520,141
42,0.000,118,0,118,118,118,80.773,175.760,80.600,175.760,0.520,0.520,141
43,0.000,128,0,128,128,128,84.933,255.840,84.760,255.840,0.520,0.520,131
44,0.000,120,0,120,120,120,79.387,179.920,79.040,179.920,0.520,0.520,131
45,0.000,142,0,142,142,142,82.160,251.680,82.160,251.680,0.520,0.520,120
46,0.000,141,0,141,141,141,75.227,177.147,74.880,176.800,0.520,0.520,120
