 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,141,141,141,224.643,262.084,180
2,0.000,117,117,117,220.743,204.363,180
3,0.000,135,135,135,226.203,265.204,185
4,0.000,115,115,115,223.083,204.363,185
5,0.000,138,138,138,226.203,269.104,189
6,0.000,114,114,114,224.643,202.803,189
7,0.000,139,139,139,224.643,271.444,194
8,0.000,113,113,113,222.303,187.983,194
9,0.000,168,168,168,226.203,276.904,199
10,0.000,112,112,112,224.643,191.103,199
11,0.000,153,153,153,228.543,282.364,205
12,0.000,117,117,117,225.423,192.663,205
13,0.000,168,168,168,228.543,287.044,211
14,0.000,113,113,113,226.983,187.983,211
15,0.000,134,134,134,230.883,289.384,216
16,0.000,107,107,107,226.983,185.643,216
17,0.000,164,164,164,231.663,292.504,220
18,0.000,111,111,111,227.763,180.963,220
19,0.000,290,290,290,232.443,295.624,224
20,0.000,124,124,124,228.543,187.983,224
21,0.000,122,122,122,234.003,296.404,228
22,0.000,158,158,158,228.543,190.323,228
23,0.000,135,135,135,236.343,297.964,233
24,0.000,129,129,129,232.443,192.663,233
25,0.000,154,154,154,237.123,301.084,238
26,0.000,123,123,123,233.223,200.463,238
27,0.000,149,149,149,235.563,303.424,243
28,0.000,121,121,121,232.443,196.563,243
29,0.000,130,130,130,236.343,302.644,248
30,0.000,115,115,115,233.223,196.563,248
31,0.000,122,122,122,236.343,298.744,253
32,0.000,120,120,120,232.443,196.563,253
33,0.000,128,128,128,237.903,307.324,258
34,0.000,121,121,121,234.783,202.023,258
35,0.000,120,120,120,241.023,310.444,263
36,0.000,124,124,124,236.343,201.243,263
37,0.000,116,116,116,240.243,314.344,269
38,0.000,105,105,105,235.563,202.803,269
39,0.000,138,138,138,240.243,315.904,274
40,0.000,112,112,112,237.903,199.683,274
41,0.000,111,111,111,240.243,322.145,280
42,0.000,114,114,114,239.463,209.823,280
43,0.000,153,153,153,245.703,319.024,287
44,0.000,120,120,120,241.803,205.143,287
45,0.000,115,115,115,244.143,314.344,292
46,0.000,120,120,120,241.023,205.143,292
47,0.000,123,123,123,244.923,315.904,299
48,0.000,119,119,119,241.803,202.803,299
49,0.000,108,108,108,247.263,311.224,305
50,0.000,120,120,120,241.023,197.343,305
51,0.000,120,120,120,250.384,312.784,314
52,0.000,136,136,136,241.803,210.603,314
