 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,132,132,132,58.933,261.387,114
2,0.000,118,118,118,56.853,174.720,114
3,0.000,129,129,129,60.320,270.400,134
4,0.000,121,121,121,61.013,184.427,134
5,0.000,145,145,145,65.173,278.720,147
6,0.000,121,121,121,62.400,186.507,147
7,0.000,124,124,124,67.947,281.493,161
8,0.000,120,120,120,66.560,181.653,161
9,0.000,135,135,135,68.640,291.893,176
10,0.000,122,122,122,67.947,178.880,176
11,0.000,124,124,124,75.573,296.053,196
12,0.000,119,119,119,72.107,181.653,196
13,0.000,134,134,134,76.267,304.373,211
14,0.000,119,119,119,74.187,184.427,211
15,0.000,118,118,118,80.427,305.067,225
16,0.000,123,123,123,78.347,188.587,225
17,0.000,124,124,124,80.427,306.453,240
18,0.000,120,120,120,79.733,192.053,240
19,0.000,124,124,124,86.667,309.227,249
20,0.000,116,116,116,81.120,189.973,249
21,0.000,132,132,132,70.720,287.733,171
22,0.000,120,120,120,69.333,179.573,171
23,0.000,128,128,128,66.560,277.333,153
24,0.000,121,121,121,65.173,171.253,153
25,0.000,128,128,128,59.627,267.627,126
26,0.000,121,121,121,60.320,187.200,126
27,0.000,117,117,117,65.867,274.560,144
28,0.000,121,121,121,63.787,185.813,144
29,0.000,129,129,129,67.947,285.653,166
30,0.000,112,112,112,69.333,187.200,166
31,0.000,123,123,123,75.573,295.360,195
32,0.000,119,119,119,74.187,192.053,195
33,0.000,128,128,128,79.733,306.453,223
34,0.000,140,140,140,76.267,197.600,223
