 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,121,0,121,121,121,71.067,160.853,70.720,160.680,0.520,0.520,98
2,0.000,141,0,141,141,141,64.480,221.520,64.480,221.520,0.520,0.520,98
3,0.000,121,0,121,121,121,75.227,152.533,74.880,152.360,0.520,0.520,107
4,0.000,129,0,129,129,129,65.173,226.027,65.000,225.680,0.520,0.520,107
5,0.000,121,0,121,121,121,76.613,157.040,76.440,157.040,0.520,0.520,115
6,0.000,127,0,127,127,127,64.827,229.147,64.480,228.800,0.520,0.520,115
7,0.000,122,0,122,122,122,78.693,152.880,78.520,152.880,0.520,0.520,125
8,0.000,121,0,121,121,121,64.827,236.080,64.480,236.080,0.520,0.520,125
9,0.000,123,0,123,123,123,77.307,148.373,76.960,148.200,0.520,0.520,134
10,0.000,129,0,129,129,129,67.947,243.360,67.600,243.360,0.520,0.520,134
11,0.000,121,0,121,121,121,80.773,142.827,80.600,142.480,0.520,0.520,144
12,0.000,144,0,144,144,144,68.293,249.253,68.120,249.080,0.520,0.520,144
13,0.000,123,0,123,123,123,84.933,132.427,84.760,132.080,0.520,0.520,154
14,0.000,126,0,126,126,126,69.333,252.027,69.160,251.680,0.520,0.520,154
15,0.000,125,0,125,125,125,85.627,122.027,85.280,121.680,0.520,0.520,164
16,0.000,126,0,126,126,126,71.067,256.880,70.720,256.880,0.520,0.520,164
17,0.000,120,0,120,120,120,85.627,124.107,85.280,123.760,0.520,0.520,174
18,0.000,139,0,139,139,139,71.760,263.467,71.760,263.120,0.520,0.520,174
19,0.000,124,0,124,124,124,89.787,123.413,89.440,123.240,0.520,0.520,186
20,0.000,133,0,133,133,133,76.267,267.280,75.920,267.280,0.520,0.520,186
21,0.000,134,0,134,134,134,90.480,127.227,90.480,126.880,0.520,0.520,197
22,0.000,138,0,138,138,138,74.187,271.093,73.840,270.920,0.520,0.520,197
23,0.000,124,0,124,124,124,90.827,139.707,90.480,139.360,0.520,0.520,206
24,0.000,129,0,129,129,129,75.573,275.253,75.400,275.080,0.520,0.520,206
25,0.000,117,0,117,117,117,88.747,144.560,88.400,144.560,0.520,0.520,214
26,0.000,127,0,127,127,127,76.267,277.333,75.920,277.160,0.520,0.520,214
27,0.000,117,0,117,117,117,90.827,140.053,90.480,139.880,0.520,0.520,223
28,0.000,129,0,129,129,129,80.427,279.760,80.080,279.760,0.520,0.520,223
29,0.000,121,0,121,121,121,96.027,138.320,95.680,138.320,0.520,0.520,232
30,0.000,127,0,127,127,127,79.387,282.187,79.040,281.840,0.520,0.520,232
31,0.000,126,0,126,126,126,99.840,135.893,99.840,135.720,0.520,0.520,242
32,0.000,119,0,119,119,119,82.160,285.307,82.160,284.960,0.520,0.520,242
33,0.000,125,0,125,125,125,98.453,136.587,98.280,136.240,0.520,0.520,251
34,0.000,125,0,125,125,125,84.933,281.840,84.760,281.840,0.520,0.520,251
