 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,191,0,191,191,191,99.840,215.973,99.840,215.800,0.520,0.520,129
2,0.000,127,0,127,127,127,95.333,135.893,95.160,135.720,0.520,0.520,129
3,0.000,149,0,149,149,149,94.987,201.067,94.640,200.720,0.520,0.520,113
4,0.000,126,0,126,126,126,92.907,139.360,92.560,139.360,0.520,0.520,113
5,0.000,157,0,157,157,157,99.493,215.627,99.320,215.280,0.520,0.520,134
6,0.000,122,0,122,122,122,95.333,141.787,95.160,141.440,0.520,0.520,134
7,0.000,181,0,181,181,181,106.080,228.107,106.080,227.760,0.520,0.520,150
8,0.000,126,0,126,126,126,97.760,133.467,97.760,133.120,0.520,0.520,150
9,0.000,143,0,143,143,143,108.160,226.373,108.160,226.200,0.520,0.520,157
10,0.000,125,0,125,125,125,98.453,134.160,98.280,134.160,0.520,0.520,157
11,0.000,157,0,157,157,157,107.120,230.533,107.120,230.360,0.520,0.520,164
12,0.000,131,0,131,131,131,100.880,130.347,100.880,130.000,0.520,0.520,164
13,0.000,157,0,157,157,157,108.160,233.653,108.160,233.480,0.520,0.520,171
14,0.000,155,0,155,155,155,100.880,130.693,100.880,130.520,0.520,0.520,171
15,0.000,186,0,186,186,186,110.587,241.280,110.240,241.280,0.520,0.520,179
16,0.000,170,0,170,170,170,103.307,132.427,102.960,132.080,0.520,0.520,179
17,0.000,163,0,163,163,163,113.013,241.973,112.840,241.800,0.520,0.520,187
18,0.000,140,0,140,140,140,105.387,137.973,105.040,137.800,0.520,0.520,187
19,0.000,146,0,146,146,146,114.747,244.400,114.400,244.400,0.520,0.520,195
20,0.000,126,0,126,126,126,108.160,138.320,108.160,138.320,0.520,0.520,195
21,0.000,138,0,138,138,138,115.093,242.320,114.920,242.320,0.520,0.520,204
22,0.000,129,0,129,129,129,109.893,140.400,109.720,140.400,0.520,0.520,204
23,0.000,139,0,139,139,139,118.213,249.253,118.040,249.080,0.520,0.520,214
24,0.000,129,0,129,129,129,114.747,135.200,114.400,135.200,0.520,0.520,214
25,0.000,143,0,143,143,143,119.600,250.640,119.600,250.640,0.520,0.520,223
26,0.000,126,0,126,126,126,114.747,133.813,114.400,133.640,0.520,0.520,223
27,0.000,148,0,148,148,148,123.760,252.720,123.760,252.720,0.520,0.520,231
28,0.000,123,0,123,123,123,118.907,141.787,118.560,141.440,0.520,0.520,231
29,0.000,139,0,139,139,139,116.480,241.973,116.480,241.800,0.520,0.520,203
30,0.000,148,0,148,148,148,112.667,145.947,112.320,145.600,0.520,0.520,203
31,0.000,136,0,136,136,136,111.627,235.387,111.280,235.040,0.520,0.520,181
32,0.000,136,0,136,136,136,105.733,142.480,105.560,142.480,0.520,0.520,181
33,0.000,144,0,144,144,144,108.507,227.760,108.160,227.760,0.520,0.520,168
34,0.000,195,0,195,195,195,103.307,153.227,102.960,152.880,0.520,0.520,168
35,0.000,140,0,140,140,140,105.733,218.400,105.560,218.400,0.520,0.520,152
36,0.000,136,0,136,136,136,99.493,144.560,99.320,144.560,0.520,0.520,152
37,0.000,151,0,151,151,151,104.000,218.747,104.000,218.400,0.520,0.520,143
38,0.000,127,0,127,127,127,100.187,144.213,99.840,144.040,0.520,0.520,143
39,0.000,142,0,142,142,142,97.067,203.147,96.720,202.800,0.520,0.520,120
40,0.000,121,0,121,121,121,94.293,134.853,94.120,134.680,0.520,0.520,120
