 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,166,166,166,88.747,284.267,250
2,0.000,125,125,125,81.813,192.053,250
3,0.000,149,149,149,87.360,275.947,241
4,0.000,138,138,138,83.893,184.427,241
5,0.000,144,144,144,85.280,273.173,233
6,0.000,143,143,143,82.507,200.373,233
7,0.000,142,142,142,85.280,271.440,225
8,0.000,132,132,132,80.080,199.680,225
9,0.000,162,162,162,85.280,271.960,212
10,0.000,131,131,131,77.480,192.400,212
11,0.000,137,137,137,83.720,264.680,199
12,0.000,132,132,132,76.960,188.240,199
13,0.000,129,129,129,80.080,258.960,187
14,0.000,127,127,127,74.360,191.880,187
15,0.000,143,143,143,75.920,242.320,147
16,0.000,153,153,153,67.600,163.800,147
17,0.000,219,219,219,72.800,232.440,132
18,0.000,129,129,129,67.600,169.000,132
19,0.000,124,124,124,76.440,242.320,155
20,0.000,132,132,132,71.760,169.520,155
21,0.000,125,125,125,77.480,242.840,168
22,0.000,122,122,122,74.360,176.800,168
23,0.000,142,142,142,83.720,259.480,200
24,0.000,134,134,134,78.000,186.160,200
25,0.000,120,120,120,75.400,238.680,157
26,0.000,139,139,139,71.240,176.280,157
27,0.000,131,131,131,74.360,231.400,144
28,0.000,130,130,130,69.680,169.520,144
29,0.000,132,132,132,73.840,225.680,130
30,0.000,126,126,126,68.120,174.200,130
31,0.000,143,143,143,82.160,250.640,171
32,0.000,120,120,120,73.840,176.800,171
33,0.000,156,156,156,85.280,263.640,201
34,0.000,122,122,122,80.080,192.400,201
35,0.000,140,140,140,87.880,270.920,238
36,0.000,130,130,130,82.160,192.400,238
37,0.000,134,134,134,81.120,261.560,197
38,0.000,125,125,125,78.000,195.000,197
