 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,146,146,146,94.640,233.480,111
2,0.000,117,117,117,80.600,131.560,111
3,0.000,134,134,134,93.600,230.360,108
4,0.000,112,112,112,75.400,129.480,108
5,0.000,117,117,117,82.160,127.400,122
6,0.000,132,132,132,99.320,238.160,122
7,0.000,116,116,116,85.280,117.520,138
8,0.000,134,134,134,94.640,242.840,138
9,0.000,126,126,126,104.000,255.320,153
10,0.000,112,112,112,86.320,104.000,153
11,0.000,113,113,113,87.880,101.920,167
12,0.000,124,124,124,110.240,256.360,167
13,0.000,129,129,129,113.880,262.600,180
14,0.000,148,148,148,110.760,104.000,180
15,0.000,159,159,159,105.560,266.760,199
16,0.000,121,121,121,105.560,103.480,199
