 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,132,132,132,85.800,295.360,251
2,0.000,123,123,123,95.680,180.440,251
3,0.000,139,139,139,81.640,287.040,225
4,0.000,115,115,115,88.920,196.040,225
5,0.000,143,143,143,80.080,276.640,199
6,0.000,126,126,126,86.320,174.720,199
7,0.000,133,133,133,72.800,246.480,138
8,0.000,113,113,113,76.960,173.160,138
9,0.000,140,140,140,72.800,250.640,151
10,0.000,120,120,120,79.040,175.760,151
11,0.000,131,131,131,76.440,259.480,169
12,0.000,126,126,126,79.560,183.560,169
13,0.000,141,141,141,80.600,275.600,196
14,0.000,125,125,125,84.760,182.000,196
15,0.000,135,135,135,82.160,281.840,214
16,0.000,130,130,130,87.360,184.600,214
17,0.000,128,128,128,84.240,287.040,231
18,0.000,136,136,136,87.880,191.880,231
