 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,145,0,145,145,145,76.440,228.800,76.440,228.800,0.520,0.520,92
2,0.000,124,0,124,124,124,73.320,153.400,73.320,153.400,0.520,0.520,92
3,0.000,166,0,166,166,166,79.040,234.000,79.040,234.000,0.520,0.520,98
4,0.000,126,0,126,126,126,73.840,152.880,73.840,152.880,0.520,0.520,98
5,0.000,158,0,158,158,158,76.960,239.200,76.960,239.200,0.520,0.520,104
6,0.000,123,0,123,123,123,74.360,153.920,74.360,153.920,0.520,0.520,104
7,0.000,149,0,149,149,149,80.600,244.400,80.600,244.400,0.520,0.520,110
8,0.000,135,0,135,135,135,73.320,148.200,73.320,148.200,0.520,0.520,110
9,0.000,152,0,152,152,152,81.640,249.080,81.640,249.080,0.520,0.520,115
10,0.000,117,0,117,117,117,76.440,150.800,76.440,150.800,0.520,0.520,115
11,0.000,188,0,188,188,188,84.240,253.760,84.240,253.760,0.520,0.520,121
12,0.000,121,0,121,121,121,78.000,144.040,78.000,144.040,0.520,0.520,121
13,0.000,168,0,168,168,168,83.200,255.320,83.200,255.320,0.520,0.520,127
14,0.000,123,0,123,123,123,76.440,144.040,76.440,144.040,0.520,0.520,127
15,0.000,135,0,135,135,135,84.240,255.840,84.240,255.840,0.520,0.520,133
16,0.000,120,0,120,120,120,78.520,145.080,78.520,145.080,0.520,0.520,133
17,0.000,126,0,126,126,126,86.320,258.440,86.320,258.440,0.520,0.520,139
18,0.000,116,0,116,116,116,76.960,138.840,76.960,138.840,0.520,0.520,139
19,0.000,126,0,126,126,126,88.400,262.600,88.400,262.600,0.520,0.520,145
20,0.000,122,0,122,122,122,76.960,139.360,76.960,139.360,0.520,0.520,145
21,0.000,139,0,139,139,139,89.440,265.200,89.440,265.200,0.520,0.520,151
22,0.000,119,0,119,119,119,78.000,142.480,78.000,142.480,0.520,0.520,151
23,0.000,141,0,141,141,141,91.000,268.840,91.000,268.840,0.520,0.520,157
24,0.000,118,0,118,118,118,76.960,136.240,76.960,136.240,0.520,0.520,157
25,0.000,131,0,131,131,131,92.040,271.440,92.040,271.440,0.520,0.520,163
26,0.000,115,0,115,115,115,81.120,143.000,81.120,143.000,0.520,0.520,163
27,0.000,157,0,157,157,157,91.000,274.040,91.000,274.040,0.520,0.520,169
28,0.000,133,0,133,133,133,84.240,147.680,84.240,147.680,0.520,0.520,169
29,0.000,253,0,253,253,253,91.520,278.720,91.520,278.720,0.520,0.520,175
30,0.000,135,0,135,135,135,88.400,152.360,88.400,152.360,0.520,0.520,175
31,0.000,166,0,166,166,166,92.560,282.360,92.560,282.360,0.520,0.520,182
32,0.000,141,0,141,141,141,89.440,155.480,89.440,155.480,0.520,0.520,182
33,0.000,149,0,149,149,149,94.120,283.920,94.120,283.920,0.520,0.520,187
34,0.000,147,0,147,147,147,89.960,158.600,89.960,158.600,0.520,0.520,187
35,0.000,138,0,138,138,138,96.200,284.960,96.200,284.960,0.520,0.520,193
36,0.000,127,0,127,127,127,91.520,156.520,91.520,156.520,0.520,0.520,193
37,0.000,134,0,134,134,134,96.720,289.640,96.720,289.640,0.520,0.520,199
38,0.000,125,0,125,125,125,93.080,158.600,93.080,158.600,0.520,0.520,199
39,0.000,127,0,127,127,127,96.720,289.120,96.720,289.120,0.520,0.520,205
40,0.000,115,0,115,115,115,96.200,163.280,96.200,163.280,0.520,0.520,205
41,0.000,140,0,140,140,140,100.880,293.800,100.880,293.800,0.520,0.520,211
42,0.000,126,0,126,126,126,95.680,158.080,95.680,158.080,0.520,0.520,211
43,0.000,130,0,130,130,130,100.360,295.360,100.360,295.360,0.520,0.520,217
44,0.000,116,0,116,116,116,97.760,165.880,97.760,165.880,0.520,0.520,217
45,0.000,124,0,124,124,124,101.400,295.360,101.400,295.360,0.520,0.520,222
46,0.000,132,0,132,132,132,99.840,171.600,99.840,171.600,0.520,0.520,222
47,0.000,132,0,132,132,132,105.560,299.000,105.560,299.000,0.520,0.520,228
48,0.000,119,0,119,119,119,98.800,175.240,98.800,175.240,0.520,0.520,228
49,0.000,145,0,145,145,145,106.080,303.160,106.080,303.160,0.520,0.520,234
50,0.000,144,0,144,144,144,101.920,180.440,101.920,180.440,0.520,0.520,234
51,0.000,138,0,138,138,138,104.520,302.640,104.520,302.640,0.520,0.520,240
52,0.000,159,0,159,159,159,100.880,180.440,100.880,180.440,0.520,0.520,240
53,0.000,170,0,170,170,170,109.720,308.360,109.720,308.360,0.520,0.520,246
54,0.000,120,0,120,120,120,102.440,175.760,102.440,175.760,0.520,0.520,246
