 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,114,0,114,114,114,79.733,166.400,79.560,166.400,0.520,0.520,128
2,0.000,172,0,172,172,172,82.507,242.320,82.160,242.320,0.520,0.520,128
3,0.000,124,0,124,124,124,78.693,174.027,78.520,173.680,0.520,0.520,134
4,0.000,185,0,185,185,185,84.587,247.867,84.240,247.520,0.520,0.520,134
5,0.000,171,0,171,171,171,87.013,253.067,86.840,252.720,0.520,0.520,142
6,0.000,118,0,118,118,118,80.427,168.827,80.080,168.480,0.520,0.520,142
7,0.000,166,0,166,166,166,89.093,256.533,88.920,256.360,0.520,0.520,149
8,0.000,119,0,119,119,119,80.427,160.853,80.080,160.680,0.520,0.520,149
9,0.000,150,0,150,150,150,90.133,259.653,89.960,259.480,0.520,0.520,156
10,0.000,117,0,117,117,117,81.467,163.627,81.120,163.280,0.520,0.520,156
11,0.000,119,0,119,119,119,83.200,165.013,83.200,164.840,0.520,0.520,163
12,0.000,148,0,148,148,148,86.667,262.773,86.320,262.600,0.520,0.520,163
13,0.000,155,0,155,155,155,90.133,266.587,89.960,266.240,0.520,0.520,170
14,0.000,116,0,116,116,116,83.547,170.213,83.200,170.040,0.520,0.520,170
15,0.000,120,0,120,120,120,88.400,174.373,88.400,174.200,0.520,0.520,193
16,0.000,119,0,119,119,119,96.373,274.907,96.200,274.560,0.520,0.520,193
17,0.000,128,0,128,128,128,97.067,279.067,96.720,278.720,0.520,0.520,198
18,0.000,115,0,115,115,115,90.827,170.907,90.480,170.560,0.520,0.520,198
19,0.000,127,0,127,127,127,98.107,282.533,97.760,282.360,0.520,0.520,204
20,0.000,112,0,112,112,112,90.133,179.227,89.960,178.880,0.520,0.520,204
21,0.000,128,0,128,128,128,97.760,283.227,97.760,282.880,0.520,0.520,210
22,0.000,126,0,126,126,126,92.213,180.960,92.040,180.960,0.520,0.520,210
23,0.000,132,0,132,132,132,97.760,284.267,97.760,283.920,0.520,0.520,216
24,0.000,120,0,120,120,120,93.947,183.387,93.600,183.040,0.520,0.520,216
25,0.000,123,0,123,123,123,97.760,287.387,97.760,287.040,0.520,0.520,222
26,0.000,118,0,118,118,118,94.640,187.547,94.640,187.200,0.520,0.520,222
27,0.000,126,0,126,126,126,102.267,288.427,101.920,288.080,0.520,0.520,228
28,0.000,123,0,123,123,123,96.373,190.320,96.200,190.320,0.520,0.520,228
29,0.000,128,0,128,128,128,102.960,291.547,102.960,291.200,0.520,0.520,234
30,0.000,122,0,122,122,122,98.453,197.253,98.280,197.080,0.520,0.520,234
31,0.000,134,0,134,134,134,103.653,293.973,103.480,293.800,0.520,0.520,240
32,0.000,118,0,118,118,118,93.947,193.787,93.600,193.440,0.520,0.520,240
33,0.000,133,0,133,133,133,102.960,295.360,102.960,295.360,0.520,0.520,246
34,0.000,126,0,126,126,126,98.800,190.667,98.800,190.320,0.520,0.520,246
35,0.000,138,0,138,138,138,104.000,297.093,104.000,296.920,0.520,0.520,251
36,0.000,131,0,131,131,131,100.880,194.133,100.880,193.960,0.520,0.520,251
37,0.000,131,0,131,131,131,100.880,291.893,100.880,291.720,0.520,0.520,226
38,0.000,122,0,122,122,122,96.720,198.640,96.720,198.640,0.520,0.520,226
39,0.000,136,0,136,136,136,98.800,287.040,98.800,287.040,0.520,0.520,217
40,0.000,117,0,117,117,117,96.720,200.373,96.720,200.200,0.520,0.520,217
41,0.000,128,0,128,128,128,98.453,282.533,98.280,282.360,0.520,0.520,209
42,0.000,118,0,118,118,118,92.907,189.627,92.560,189.280,0.520,0.520,209
43,0.000,132,0,132,132,132,98.107,281.147,97.760,280.800,0.520,0.520,201
44,0.000,120,0,120,120,120,92.907,185.120,92.560,185.120,0.520,0.520,201
45,0.000,126,0,126,126,126,95.333,274.213,95.160,274.040,0.520,0.520,191
46,0.000,119,0,119,119,119,90.827,183.733,90.480,183.560,0.520,0.520,191
47,0.000,124,0,124,124,124,93.600,266.587,93.600,266.240,0.520,0.520,179
48,0.000,118,0,118,118,118,88.400,183.733,88.400,183.560,0.520,0.520,179
49,0.000,145,0,145,145,145,87.013,246.133,86.840,245.960,0.520,0.520,138
50,0.000,118,0,118,118,118,80.773,183.733,80.600,183.560,0.520,0.520,138
51,0.000,143,0,143,143,143,84.933,240.587,84.760,240.240,0.520,0.520,131
52,0.000,116,0,116,116,116,79.733,180.613,79.560,180.440,0.520,0.520,131
53,0.000,115,0,115,115,115,82.507,183.387,82.160,183.040,0.520,0.520,155
54,0.000,146,0,146,146,146,86.320,254.800,86.320,254.800,0.520,0.520,155
55,0.000,118,0,118,118,118,84.240,176.800,84.240,176.800,0.520,0.520,168
56,0.000,130,0,130,130,130,91.173,264.160,91.000,264.160,0.520,0.520,168
