 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,157,157,157,87.881,209.563,105
2,0.000,138,138,138,83.721,160.682,105
3,0.000,180,180,180,88.401,213.723,112
4,0.000,154,154,154,86.841,166.402,112
5,0.000,165,165,165,89.441,217.883,120
6,0.000,145,145,145,86.321,165.362,120
7,0.000,191,191,191,92.561,228.283,132
8,0.000,135,135,135,87.881,157.562,132
9,0.000,188,188,188,97.241,233.483,144
10,0.000,127,127,127,89.961,160.162,144
11,0.000,149,149,149,97.241,233.483,152
12,0.000,141,141,141,91.521,163.282,152
13,0.000,141,141,141,98.281,236.603,159
14,0.000,132,132,132,92.561,167.442,159
15,0.000,139,139,139,103.481,241.803,167
16,0.000,136,136,136,95.681,166.922,167
17,0.000,279,279,279,100.361,249.083,174
18,0.000,139,139,139,97.241,165.882,174
19,0.000,142,142,142,102.961,244.923,182
20,0.000,132,132,132,98.801,171.082,182
21,0.000,158,158,158,104.001,249.083,189
22,0.000,139,139,139,99.841,167.442,189
23,0.000,159,159,159,107.121,253.244,196
24,0.000,136,136,136,100.881,175.242,196
25,0.000,141,141,141,107.642,254.284,203
26,0.000,143,143,143,102.441,176.282,203
27,0.000,139,139,139,108.162,257.404,211
28,0.000,153,153,153,103.481,174.202,211
29,0.000,205,205,205,107.642,260.524,218
30,0.000,139,139,139,104.001,169.002,218
31,0.000,170,170,170,111.282,267.804,229
32,0.000,138,138,138,108.162,176.282,229
