 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,143,143,143,82.681,217.363,96
2,0.000,123,123,123,81.641,162.242,96
3,0.000,264,264,264,87.881,234.003,114
4,0.000,120,120,120,84.761,164.322,114
5,0.000,142,142,142,92.041,245.443,132
6,0.000,120,120,120,88.401,157.042,132
7,0.000,134,134,134,96.201,253.244,148
8,0.000,132,132,132,91.001,157.562,148
9,0.000,164,164,164,99.321,266.244,163
10,0.000,116,116,116,93.601,164.842,163
11,0.000,144,144,144,100.361,268.324,175
12,0.000,118,118,118,97.761,169.522,175
13,0.000,144,144,144,105.041,271.444,187
14,0.000,128,128,128,99.841,177.842,187
15,0.000,155,155,155,105.561,278.724,196
16,0.000,124,124,124,99.841,179.403,196
17,0.000,129,129,129,109.202,273.524,207
18,0.000,147,147,147,100.881,181.483,207
19,0.000,129,129,129,109.202,277.684,222
20,0.000,133,133,133,105.561,180.963,222
21,0.000,140,140,140,115.442,287.044,236
22,0.000,134,134,134,107.121,185.643,236
23,0.000,136,136,136,100.881,267.804,179
24,0.000,130,130,130,99.321,183.043,179
25,0.000,485,485,485,87.361,236.083,118
26,0.000,123,123,123,86.841,170.562,118
