 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,130,0,130,130,130,73.147,143.347,72.800,143.000,0.520,0.520,169
2,0.000,163,0,163,163,163,82.160,250.467,82.160,250.120,0.520,0.520,169
3,0.000,133,0,133,133,133,77.307,143.000,76.960,143.000,0.520,0.520,175
4,0.000,164,0,164,164,164,82.160,251.507,82.160,251.160,0.520,0.520,175
5,0.000,121,0,121,121,121,79.387,138.147,79.040,137.800,0.520,0.520,182
6,0.000,144,0,144,144,144,82.507,251.507,82.160,251.160,0.520,0.520,182
7,0.000,131,0,131,131,131,79.387,140.920,79.040,140.920,0.520,0.520,189
8,0.000,155,0,155,155,155,85.973,260.520,85.800,260.520,0.520,0.520,189
9,0.000,118,0,118,118,118,78.347,143.347,78.000,143.000,0.520,0.520,196
10,0.000,134,0,134,134,134,89.787,262.253,89.440,262.080,0.520,0.520,196
11,0.000,123,0,123,123,123,80.080,143.693,80.080,143.520,0.520,0.520,204
12,0.000,152,0,152,152,152,90.480,267.800,90.480,267.800,0.520,0.520,204
13,0.000,120,0,120,120,120,83.547,138.840,83.200,138.840,0.520,0.520,212
14,0.000,135,0,135,135,135,92.907,270.573,92.560,270.400,0.520,0.520,212
15,0.000,115,0,115,115,115,87.013,138.147,86.840,137.800,0.520,0.520,220
16,0.000,172,0,172,172,172,96.373,279.240,96.200,279.240,0.520,0.520,220
17,0.000,123,0,123,123,123,89.093,137.800,88.920,137.800,0.520,0.520,228
18,0.000,134,0,134,134,134,99.493,281.667,99.320,281.320,0.520,0.520,228
19,0.000,127,0,127,127,127,92.213,133.640,92.040,133.640,0.520,0.520,237
20,0.000,127,0,127,127,127,97.413,285.480,97.240,285.480,0.520,0.520,237
21,0.000,124,0,124,124,124,92.907,127.053,92.560,126.880,0.520,0.520,246
22,0.000,140,0,140,140,140,98.800,287.560,98.800,287.560,0.520,0.520,246
23,0.000,127,0,127,127,127,91.867,135.373,91.520,135.200,0.520,0.520,251
24,0.000,129,0,129,129,129,99.840,279.933,99.840,279.760,0.520,0.520,251
25,0.000,128,0,128,128,128,98.453,278.200,98.280,278.200,0.520,0.520,234
26,0.000,126,0,126,126,126,91.867,135.373,91.520,135.200,0.520,0.520,234
27,0.000,130,0,130,130,130,95.680,272.653,95.680,272.480,0.520,0.520,215
28,0.000,118,0,118,118,118,86.320,141.613,86.320,141.440,0.520,0.520,215
29,0.000,128,0,128,128,128,91.867,265.720,91.520,265.720,0.520,0.520,206
30,0.000,125,0,125,125,125,87.360,151.667,87.360,151.320,0.520,0.520,206
31,0.000,129,0,129,129,129,87.360,251.853,87.360,251.680,0.520,0.520,186
32,0.000,130,0,130,130,130,81.467,158.947,81.120,158.600,0.520,0.520,186
33,0.000,130,0,130,130,130,81.813,247.000,81.640,247.000,0.520,0.520,179
34,0.000,138,0,138,138,138,79.040,159.640,79.040,159.640,0.520,0.520,179
35,0.000,137,0,137,137,137,79.733,236.947,79.560,236.600,0.520,0.520,158
36,0.000,123,0,123,123,123,76.267,166.920,75.920,166.920,0.520,0.520,158
